source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,RT @realDonaldTrump: MEXICO HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF AGRICULTURAL PRODUCT FROM OUR GREAT PATRIOT FARMERS!,06/09/2019 04:09,34080,0,true,1.13757E+18
Twitter for iPhone,I would like to thank the President of Mexico Andres Manuel Lopez Obrador and his foreign minister Marcelo Ebrard together with all of the many representatives of both the United States and Mexico for working so long and hard to get our agreement on immigration completed!,06/08/2019 14:20,29037,134416,false,1.13736E+18
Twitter for iPhone,Everyone very excited about the new deal with Mexico!,06/08/2019 13:47,20616,118450,false,1.13736E+18
Twitter for iPhone,MEXICO HAS AGREED TO IMMEDIATELY BEGIN BUYING LARGE QUANTITIES OF AGRICULTURAL PRODUCT FROM OUR GREAT PATRIOT FARMERS!,06/08/2019 12:03,34068,172961,false,1.13733E+18
Twitter for iPhone,Mexico will try very hard and if they do that this will be a very successful agreement for both the United States and Mexico!,06/08/2019 11:02,17182,92057,false,1.13731E+18
Twitter for iPhone,Brandon Judd National Border Patrol Council: “That’s going to be a huge deal because Mexico will be using their strong Immigration Laws - A game changer. People no longer will be released into the U.S.” Also 6000 Mexican Troops at their Southern Border. Currently there are few!,06/08/2019 10:55,16512,66981,false,1.13731E+18
Twitter for iPhone,While the reviews and reporting on our Border Immigration Agreement with Mexico have been very good there has nevertheless been much false reporting (surprise!) by the Fake and Corrupt News Media such as Comcast/NBC CNN @nytimes &amp; @washingtonpost. These “Fakers” are Bad News!,06/08/2019 10:47,15815,61966,false,1.13731E+18
Twitter for iPhone,I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs scheduled to be implemented by the U.S. on Monday against Mexico are hereby indefinitely suspended. Mexico in turn has agreed to take strong measures to....,06/08/2019 00:31,55891,239263,false,1.13716E+18
Twitter for iPhone,....stem the tide of Migration through Mexico and to our Southern Border. This is being done to greatly reduce or eliminate Illegal Immigration coming from Mexico and into the United States. Details of the agreement will be released shortly by the State Department. Thank you!,06/08/2019 00:31,38079,187307,false,1.13716E+18
Twitter for iPhone,I am pleased to inform you that The United States of America has reached a signed agreement with Mexico. The Tariffs scheduled to be implemented by the U.S. on Monday against Mexico are hereby indefinitely suspended. Mexico in turn has agreed to take strong measures to......,06/08/2019 00:25,2659,7515,false,1.13715E+18
Twitter for iPhone,....stem the tide of Migration through Mexico and to our Southern Border. This is being done to greatly reduce or eliminate Illegal Immigration coming from Mexico and into the United States. Details of the agreement will be released shortly be the State Department. Thank you!,06/08/2019 00:25,2319,7508,false,1.13715E+18
Twitter for iPhone,If we are able to make the deal with Mexico &amp; there is a good chance that we will they will begin purchasing Farm &amp; Agricultural products at very high levels starting immediately. If we are unable to make the deal Mexico will begin paying Tariffs at the 5% level on Monday!,06/07/2019 17:16,15387,67643,false,1.13705E+18
Twitter for iPhone,Immigration discussions at the White House with representatives of Mexico have ended for the day. Progress is being made but not nearly enough! Border arrests for May are at 133000 because of Mexico &amp; the Democrats in Congress refusing to budge on immigration reform. Further...,06/05/2019 22:42,22382,95431,false,1.1364E+18
Twitter for iPhone,....talks with Mexico will resume tomorrow with the understanding that if no agreement is reached Tariffs at the 5% level will begin on Monday with monthly increases as per schedule. The higher the Tariffs go the higher the number of companies that will move back to the USA!,06/05/2019 22:42,21028,94444,false,1.1364E+18
Twitter for iPhone,“House Republicans support the President on Tariffs with Mexico all the way &amp; that makes any measure the President takes on the Border totally Veto proof. Why wouldn’t you as Republicans support him when that will allow our President to make a better deal.” Thank you @GOPLeader,06/05/2019 08:20,17252,71555,false,1.13619E+18
Twitter for iPhone,Can you imagine Cryin’ Chuck Schumer saying out loud for all to hear that I am bluffing with respect to putting Tariffs on Mexico. What a Creep. He would rather have our Country fail with drugs &amp; Immigration than give Republicans a win. But he gave Mexico bad advice no bluff!,06/05/2019 00:04,24513,93681,false,1.13606E+18
Twitter for iPhone,As a sign of good faith Mexico should immediately stop the flow of people and drugs through their country and to our Southern Border. They can do it if they want!,06/03/2019 18:11,23064,104600,false,1.13561E+18
Twitter for iPhone,Mexico is sending a big delegation to talk about the Border. Problem is they’ve been “talking” for 25 years. We want action not talk. They could solve the Border Crisis in one day if they so desired. Otherwise our companies and jobs are coming back to the USA!,06/02/2019 18:19,27977,111171,false,1.13525E+18
Twitter for iPhone,People have been saying for years that we should talk to Mexico. The problem is that Mexico is an “abuser” of the United States taking but never giving. It has been this way for decades. Either they stop the invasion of our Country by Drug Dealers Cartels Human Traffickers....,06/02/2019 11:44,24632,116369,false,1.13515E+18
Twitter for iPhone,....U.S. in order to avoid paying the 25% Tariff. Like Mexican companies will move back to the United States once the Tariff reaches the higher levels. They took many of our companies &amp; jobs the foolish Pols let it happen and now they will come back unless Mexico stops the.....,06/01/2019 20:37,14273,72951,false,1.13492E+18
Twitter for iPhone,...travesty that is taking place in allowing millions of people to easily meander through their country and INVADE the U.S. not to mention the Drugs &amp; Human Trafficking pouring in through Mexico. Are the Drug Lords Cartels &amp; Coyotes really running Mexico? We will soon find out!,06/01/2019 20:37,17676,83507,false,1.13492E+18
Twitter for iPhone,Saddened to hear about the loss of John Pinto a Navajo Code Talker in World War II over the Memorial Day Weekend. The Code Talkers are true American HEROES and John never stopped serving his fellow citizens as a longtime New Mexico State Senator. John Rest In Peace!,05-31-2019 18:08:33,15563,71422,false,1.13452E+18
